,Country,Media_Esp_vida,Inter_esp_vida
0,Afghanistan,46,40-50
1,Albania,69,60-70
2,Algeria,60,50-60
3,Andorra,0,
4,Angola,45,40-50
5,Antigua and Barbuda,71,>70
6,Argentina,69,60-70
7,Armenia,66,60-70
8,Australia,75,>70
9,Austria,73,>70
10,Azerbaijan,62,60-70
11,Bahamas,67,60-70
12,Bahrain,69,60-70
13,Bangladesh,56,50-60
14,Barbados,70,60-70
15,Belarus,68,60-70
16,Belgium,74,>70
17,Belize,66,60-70
18,Benin,50,40-50
19,Bhutan,53,50-60
20,Bolivia,55,50-60
21,Bosnia and Herzegovina,69,60-70
22,Botswana,56,50-60
23,Brazil,64,60-70
24,Brunei,68,60-70
25,Bulgaria,70,60-70
26,Burkina Faso,47,40-50
27,Burundi,47,40-50
28,Cabo Verde,62,60-70
29,Cambodia,52,50-60
30,Cameroon,51,50-60
31,Canada,75,>70
32,Central African Republic,46,40-50
33,Chad,44,40-50
34,Chile,70,60-70
35,China,65,60-70
36,Colombia,66,60-70
37,Comoros,52,50-60
38,"Congo, Democratic Republic of the",48,40-50
39,"Congo, Republic of the",55,50-60
40,Costa Rica,72,>70
41,Croatia,70,60-70
42,Cuba,71,>70
43,Cyprus,72,>70
44,Czech Republic,71,>70
45,Denmark,74,>70
46,Djibouti,53,50-60
47,Dominica,67,60-70
48,Dominican Republic,63,60-70
49,East Timor,45,40-50
50,Ecuador,65,60-70
51,Egypt,60,50-60
52,El Salvador,60,50-60
53,Equatorial Guinea,48,40-50
54,Eritrea,50,40-50
55,Estonia,69,60-70
56,Eswatini,51,50-60
57,Ethiopia,47,40-50
58,Fiji,62,60-70
59,Finland,73,>70
60,France,75,>70
61,Gabon,57,50-60
62,Gambia,49,40-50
63,Georgia,66,60-70
64,Germany,73,>70
65,Ghana,53,50-60
66,Greece,74,>70
67,Grenada,68,60-70
68,Guatemala,59,50-60
69,Guinea,46,40-50
70,Guinea-Bissau,46,40-50
71,Guyana,61,60-70
72,Haiti,52,50-60
73,Honduras,62,60-70
74,Hungary,69,60-70
75,Iceland,76,>70
76,India,56,50-60
77,Indonesia,60,50-60
78,Iran,61,60-70
79,Iraq,61,60-70
80,Ireland,73,>70
81,Israel,70,60-70
82,Italy,75,>70
83,Ivory Coast,49,40-50
84,Jamaica,68,60-70
85,Japan,76,>70
86,Jordan,66,60-70
87,Kazakhstan,64,60-70
88,Kenya,55,50-60
89,Kiribati,58,50-60
90,Kuwait,70,60-70
91,Kyrgyzstan,63,60-70
92,Laos,52,50-60
93,Latvia,69,60-70
94,Lebanon,67,60-70
95,Lesotho,50,40-50
96,Liberia,47,40-50
97,Libya,63,60-70
98,Liechtenstein,36,<40
99,Lithuania,70,60-70
100,Luxembourg,73,>70
101,Madagascar,53,50-60
102,Malawi,45,40-50
103,Malaysia,68,60-70
104,Maldives,61,60-70
105,Mali,44,40-50
106,Malta,73,>70
107,Marshall Islands,60,50-60
108,Mauritania,56,50-60
109,Mauritius,66,60-70
110,Mexico,66,60-70
111,Micronesia,64,60-70
112,Moldova,64,60-70
113,Monaco,0,
114,Mongolia,58,50-60
115,Montenegro,71,>70
116,Morocco,59,50-60
117,Mozambique,46,40-50
118,Myanmar,55,50-60
119,Namibia,54,50-60
120,Nauru,59,50-60
121,Nepal,53,50-60
122,Netherlands,75,>70
123,New Zealand,74,>70
124,Nicaragua,60,50-60
125,Niger,45,40-50
126,Nigeria,44,40-50
127,North Korea,64,60-70
128,North Macedonia,68,60-70
129,Norway,75,>70
130,Oman,62,60-70
131,Pakistan,57,50-60
132,Palau,4,<40
133,Panama,69,60-70
134,Papua New Guinea,57,50-60
135,Paraguay,65,60-70
136,Peru,63,60-70
137,Philippines,64,60-70
138,Poland,70,60-70
139,Portugal,72,>70
140,Qatar,71,>70
141,Romania,68,60-70
142,Russia,66,60-70
143,Rwanda,50,40-50
144,Saint Kitts and Nevis,64,60-70
145,Saint Lucia,67,60-70
146,Saint Vincent and the Grenadines,68,60-70
147,Samoa,65,60-70
148,San Marino,0,
149,Sao Tome and Principe,58,50-60
150,Saudi Arabia,64,60-70
151,Senegal,52,50-60
152,Serbia,68,60-70
153,Seychelles,47,40-50
154,Sierra Leone,44,40-50
155,Singapore,73,>70
156,Slovakia,70,60-70
157,Slovenia,72,>70
158,Solomon Islands,61,60-70
159,Somalia,47,40-50
160,South Africa,57,50-60
161,South Korea,69,60-70
162,South Sudan,38,<40
163,Spain,75,>70
164,Sri Lanka,68,60-70
165,Sudan,52,50-60
166,Suriname,63,60-70
167,Sweden,76,>70
168,Switzerland,76,>70
169,Syria,65,60-70
170,Tajikistan,60,50-60
171,Tanzania,51,50-60
172,Thailand,66,60-70
173,Togo,51,50-60
174,Tonga,65,60-70
175,Trinidad and Tobago,67,60-70
176,Tunisia,64,60-70
177,Turkey,65,60-70
178,Turkmenistan,61,60-70
179,Tuvalu,58,50-60
180,Uganda,49,40-50
181,Ukraine,67,60-70
182,United Arab Emirates,68,60-70
183,United Kingdom,74,>70
184,United States,73,>70
185,Uruguay,71,>70
186,Uzbekistan,63,60-70
187,Vanuatu,62,60-70
188,Venezuela,67,60-70
189,Vietnam,66,60-70
190,Yemen,53,50-60
191,Zambia,51,50-60
192,Zimbabwe,53,50-60
