Country,Life Expectancy,Obesity rate %,Continent,Correlation
Japan,84,4.3,Asia,-0.036193813101223056
South Korea,83,4.7,Asia,-0.036193813101223056
Spain,83,23.8,Europe,-0.1157443316641021
Singapore,83,6.1,Asia,-0.036193813101223056
Cyprus,83,21.8,Asia,-0.036193813101223056
France,82,21.6,Europe,-0.1157443316641021
Switzerland,83,19.5,Europe,-0.1157443316641021
Italy,83,19.9,Europe,-0.1157443316641021
Australia,83,29.0,Oceania,-0.9999963944669489
Germany,81,22.3,Europe,-0.1157443316641021
Norway,83,23.1,Europe,-0.1157443316641021
Israel,82,26.1,Asia,-0.036193813101223056
Portugal,81,20.8,Europe,-0.1157443316641021
Luxembourg,82,22.6,Europe,-0.1157443316641021
Canada,82,29.4,Americas,0.06561193105228445
Slovenia,81,20.2,Europe,-0.1157443316641021
Finland,81,22.2,Europe,-0.1157443316641021
Sweden,82,20.6,Europe,-0.1157443316641021
Iceland,82,21.9,Europe,-0.1157443316641021
Kuwait,81,37.9,Asia,-0.036193813101223056
Austria,81,20.1,Europe,-0.1157443316641021
Malta,81,28.9,Europe,-0.1157443316641021
Greece,81,24.9,Europe,-0.1157443316641021
Belgium,81,22.1,Europe,-0.1157443316641021
Ireland,81,25.3,Europe,-0.1157443316641021
New Zealand,82,30.8,Oceania,-0.9999963944669489
Costa Rica,80,25.7,Americas,0.06561193105228445
Chile,80,28.0,Americas,0.06561193105228445
Denmark,81,19.7,Europe,-0.1157443316641021
Netherlands,81,20.4,Europe,-0.1157443316641021
United Kingdom,81,27.8,Europe,-0.1157443316641021
Estonia,78,21.2,Europe,-0.1157443316641021
Panama,79,22.7,Americas,0.06561193105228445
Colombia,79,22.3,Americas,0.06561193105228445
Czech Republic,79,26.0,Europe,-0.1157443316641021
Poland,78,23.1,Europe,-0.1157443316641021
Croatia,78,24.4,Europe,-0.1157443316641021
Slovakia,78,20.5,Europe,-0.1157443316641021
Peru,79,19.7,Americas,0.06561193105228445
Thailand,77,10.0,Asia,-0.036193813101223056
Maldives,79,8.6,Asia,-0.036193813101223056
Republic of Turkey,78,32.1,Asia,-0.036193813101223056
United States,78,36.2,Americas,0.06561193105228445
Uruguay,77,27.9,Americas,0.06561193105228445
China,77,6.2,Asia,-0.036193813101223056
Ecuador,78,19.9,Americas,0.06561193105228445
Lithuania,76,26.3,Europe,-0.1157443316641021
Cuba,77,24.6,Americas,0.06561193105228445
Albania,78,21.7,Europe,-0.1157443316641021
Trinidad and Tobago,76,18.6,Americas,0.06561193105228445
Latvia,75,23.6,Europe,-0.1157443316641021
Sri Lanka,76,5.2,Asia,-0.036193813101223056
Belarus,74,24.5,Europe,-0.1157443316641021
Hungary,76,26.4,Europe,-0.1157443316641021
Argentina,76,28.3,Americas,0.06561193105228445
Brazil,75,22.1,Americas,0.06561193105228445
Romania,75,22.5,Europe,-0.1157443316641021
Armenia,76,20.2,Asia,-0.036193813101223056
Lebanon,76,32.0,Asia,-0.036193813101223056
Tunisia,77,26.9,Africa,0.7351776085879983
Bosnia and Herzegovina,76,17.9,Europe,-0.1157443316641021
El Salvador,75,24.6,Americas,0.06561193105228445
Iran,77,25.8,Asia,-0.036193813101223056
Mexico,76,28.9,Americas,0.06561193105228445
Jordan,77,35.5,Asia,-0.036193813101223056
Paraguay,75,20.3,Americas,0.06561193105228445
Montenegro,75,23.3,Europe,-0.1157443316641021
Bulgaria,75,25.0,Europe,-0.1157443316641021
United Arab Emirates,76,31.7,Asia,-0.036193813101223056
Serbia,75,21.5,Europe,-0.1157443316641021
Venezuela,73,25.6,Americas,0.06561193105228445
Algeria,77,27.4,Africa,0.7351776085879983
Vietnam,73,2.1,Asia,-0.036193813101223056
Antigua and Barbuda,76,18.9,Americas,0.06561193105228445
Russia,73,23.1,Europe,-0.1157443316641021
Cape Verde,74,11.8,Africa,0.7351776085879983
Nicaragua,75,23.7,Americas,0.06561193105228445
Belize,74,24.1,Americas,0.06561193105228445
Georgia,73,21.7,Asia,-0.036193813101223056
Ukraine,73,24.1,Europe,-0.1157443316641021
Barbados,76,23.1,Americas,0.06561193105228445
Jamaica,76,24.7,Americas,0.06561193105228445
Saint Lucia,74,19.7,Americas,0.06561193105228445
Kazakhstan,74,21.0,Asia,-0.036193813101223056
Kyrgyzstan,74,16.6,Asia,-0.036193813101223056
Libya,75,32.5,Africa,0.7351776085879983
Mauritius,74,10.8,Africa,0.7351776085879983
Malaysia,74,15.6,Asia,-0.036193813101223056
Moldova,73,18.9,Europe,-0.1157443316641021
Seychelles,73,14.0,Africa,0.7351776085879983
Bahrain,75,29.8,Asia,-0.036193813101223056
North Macedonia,74,22.4,Europe,-0.1157443316641021
Bahamas,73,31.6,Americas,0.06561193105228445
Qatar,77,35.1,Asia,-0.036193813101223056
Dominican Republic,72,27.8,Americas,0.06561193105228445
Saudi Arabia,74,35.4,Asia,-0.036193813101223056
North Korea,72,6.8,Asia,-0.036193813101223056
Bangladesh,74,3.6,Asia,-0.036193813101223056
Tonga,72,48.2,Oceania,-0.9999963944669489
Brunei,74,14.1,Asia,-0.036193813101223056
